"id","m2","habitaciones","estrato","antiguedad","precio"
"V0789",80.2,3,5,35,386.4
"V0790",203.5,5,5,8,958.2
"V0791",207.1,6,6,9,998.6
"V0792",130.8,3,6,7,654.3
"V0793",67.8,3,3,13,355.6
"V0795",181.2,6,4,10,915.5
"V0796",104.5,2,4,12,447.2
"V0797",45.2,2,5,21,276.5
"V0798",79.7,3,2,12,369.5
"V0799",95.5,3,2,9,444.6
"V0800",75.6,2,5,12,356.3
"V0801",116.8,3,6,7,609
"V0802",96.3,2,6,13,489.7
"V0803",48.6,2,3,7,268.8
"V0804",34.2,1,4,28,158.1
"V0805",76.2,2,3,3,488.9
"V0806",213.9,6,5,15,1002.1
"V0807",120.3,4,2,9,555.7
"V0808",118.2,4,5,40,538
"V0809",171,4,6,10,841.7
"V0810",155.2,4,2,16,779.6
"V0811",34.6,1,4,15,192.1
"V0812",160.5,5,3,14,774.4
"V0813",95.8,2,2,16,420.1
"V0814",197.4,6,4,40,962.5
"V0815",176.2,5,3,21,835.2
"V0816",52.1,2,6,14,291.8
"V0817",82.5,3,4,35,410.2
"V0818",49.6,1,4,17,258
"V0819",140,5,2,18,660.9
"V0820",134.5,4,5,25,636
"V0821",159.3,4,5,13,795.3
"V0822",85.7,3,2,19,447.9
"V0823",143.1,4,5,10,748.8
"V0824",218.3,6,2,13,1011.1
"V0825",169.9,4,3,12,810
"V0826",39.8,2,6,8,275.3
"V0827",113,3,6,41,592.7
"V0828",35.4,2,4,9,223.7
"V0829",91.2,3,2,10,450.6
"V0830",168.1,5,3,27,799
"V0831",25.8,1,3,12,158.3
"V0832",175.5,4,4,24,852.2
"V0833",115.3,4,2,8,544.2
"V0834",165.6,5,4,12,825.9
"V0835",155,3,4,10,736.7
"V0836",136.6,4,2,7,644.9
"V0837",162.2,3,3,10,767.9
"V0838",153.2,5,4,8,710.8
"V0839",81.4,2,6,20,476.3
"V0840",44,1,2,10,185.1
"V0841",212.7,6,3,11,1032.5
"V0842",168.6,6,4,7,781
"V0843",144.5,4,2,14,639.6
"V0844",48.4,2,2,5,269.6
"V0845",132.3,4,3,2,636.3
"V0846",76.2,1,4,37,317.9
"V0847",200.2,5,4,19,990.8
"V0848",26.8,1,3,18,76.5
"V0849",71.1,2,4,3,356.8
"V0850",50.4,1,5,18,241.8
"V0851",88.6,4,5,16,443.9
"V0852",166.6,5,3,11,788.6
"V0853",218.4,6,6,20,1046.8
"V0854",164.5,6,2,24,733.7
"V0855",123.4,3,3,11,586.6
"V0856",110,3,2,39,501.9
"V0857",210,6,5,22,976.7
"V0859",39.7,2,4,10,202.9
"V0860",198.4,6,4,11,886.9
"V0861",107.8,2,4,7,558.6
"V0862",33.3,1,5,15,269
"V0863",151.3,5,4,14,695.3
"V0864",116.4,4,4,13,546.8
"V0865",145.5,4,6,8,712.1
"V0866",77.8,2,2,10,395.8
"V0867",55.7,2,2,39,250.4
"V0868",47.3,2,5,7,296.9
"V0869",124,4,2,9,603.9
"V0870",131.9,3,2,5,627
"V0871",52.4,1,2,6,274.4
"V0872",58.1,1,2,10,248.6
"V0873",173.6,4,3,9,817.1
"V0874",127.8,4,3,8,595.2
"V0875",192.9,4,2,8,852.5
"V0876",156.3,3,3,11,704.5
"V0877",27.5,2,5,24,207.7
"V0878",160.2,4,3,10,718.9
"V0879",198.9,4,4,6,938.1
"V0880",148.2,4,3,6,736.6
"V0881",45.9,2,4,4,273.2
"V0882",204.6,6,4,4,997.1
"V0883",156.7,5,5,8,783.7
"V0884",54,2,6,7,322.9
"V0885",170.3,4,5,6,770.6
"V0887",107.1,3,3,34,458.4
"V0888",83.1,2,5,56,392.8
"V0889",75.6,4,4,19,446.6
"V0890",68.5,3,5,11,378.6
"V0891",135.3,4,4,6,642.5
"V0892",172.5,4,4,6,858.1
"V0893",155.6,4,5,9,782.7
"V0894",131.6,5,4,26,629
"V0895",183.2,4,3,18,848.2
"V0896",173,5,4,20,818.1
"V0897",28.9,1,2,11,149.1
"V0898",99.3,4,5,5,536.4
"V0899",34.9,2,4,15,208.9
"V0900",180.6,5,3,11,830.1
"V0901",205.1,5,4,10,1000
"V0902",130.8,4,3,44,577.4
"V0903",191.2,5,3,20,928.7
"V0904",138.8,4,5,10,662.2
"V0905",155.3,5,4,4,778.1
"V0906",124.7,5,3,10,635.9
"V0907",173.7,5,4,22,860.7
"V0908",201.2,5,3,15,935
"V0909",185,6,2,14,872.1
"V0910",38.9,2,2,22,123.3
"V0911",25.8,1,2,11,150.6
"V0912",35.2,1,4,10,207.1
"V0913",194,6,4,10,943
"V0915",86.2,2,3,10,463.7
"V0916",212.1,6,4,19,994.1
"V0918",128.6,4,4,6,630.7
"V0919",99.9,3,5,13,533.8
"V0920",87.3,2,3,19,385.7
"V0921",182.6,5,3,9,877.7
"V0922",33.2,1,2,8,161.3
"V0923",95.9,2,4,2,501.8
"V0924",192,5,2,15,855.7
"V0925",161.1,5,4,7,795.6
"V0926",158.5,5,4,15,851
"V0928",133.2,3,6,9,711.6
"V0929",51.8,1,5,18,275.1
"V0930",178.1,6,3,11,847.4
"V0931",197.9,6,2,15,903.8
"V0932",64.8,2,2,6,257.2
"V0933",175.3,5,5,15,844.6
"V0934",141.3,4,6,26,695.6
"V0935",211.7,6,4,35,982
"V0937",127.6,4,4,17,640.2
"V0938",195.3,6,4,9,989.2
"V0939",194.6,6,2,16,927.6
"V0940",29.6,1,2,11,174.2
"V0941",215.3,6,3,10,1007.5
"V0942",120.6,4,3,18,575.6
"V0943",100.9,3,3,19,518.6
"V0944",106.4,4,4,14,566
"V0945",43.1,1,2,16,193.4
"V0946",56.6,3,5,15,346.2
"V0947",104.1,3,4,14,481.8
"V0948",91.7,3,5,13,441.5
"V0949",106,2,2,21,538.1
"V0950",84.3,2,4,18,426.1
"V0951",134.3,4,3,19,635.2
"V0952",55.4,1,2,23,290.3
"V0953",211.5,5,4,17,992.3
"V0954",33.6,2,4,11,177
"V0955",97.6,3,3,6,483.6
"V0956",212.7,5,4,9,958.7
"V0957",150.9,5,5,7,734.3
"V0959",104.9,2,3,9,466.6
"V0961",124.1,3,4,6,591.7
"V0962",112.7,4,3,8,579.2
"V0963",146.5,4,3,15,683.8
"V0964",52.3,2,4,14,251.4
"V0966",136,3,6,22,682.8
"V0967",131.9,4,3,4,636.6
"V0968",47.8,2,6,16,298.8
"V0969",173.6,5,5,31,819.6
"V0970",118.3,3,2,9,545.4
"V0971",177.5,6,3,15,851.2
"V0972",34,1,6,9,284.6
"V0973",184.9,5,2,12,794.7
"V0974",77.5,2,3,20,373.7
"V0975",80.2,1,5,7,459.7
"V0976",150.4,5,6,9,724.2
"V0977",209.9,6,2,17,996
"V0978",26.4,1,5,15,170.4
"V0979",93.6,3,2,19,457.2
"V0980",106.7,3,4,25,564.4
"V0981",114.3,3,4,19,586.1
"V0982",163.8,5,3,6,813.7
"V0983",204.4,5,3,13,888.2
"V0984",147.3,5,6,9,707.4
"V0985",200.9,5,6,12,1001.9
"V0986",172.7,5,5,21,808
"V0987",51.9,1,3,14,250.8
"V0988",54.9,1,5,13,353.2
"V0989",62.3,3,5,11,350
"V0990",109.5,4,2,15,512.1
"V0991",42,1,5,6,251.8
"V0992",68.6,2,4,9,313.6
"V0993",136.6,4,2,32,562.7
"V0994",103,2,2,17,473.4
"V0995",135.3,4,3,7,658.9
"V0996",186.8,5,4,6,856.2
"V0997",150.2,4,4,7,676.1
"V0999",163.4,3,5,16,812.7
"V1000",46.2,2,5,9,290.2
"V1001",78.4,2,5,10,447.3
"V1002",140.8,4,6,22,722.6
"V1003",56.2,1,3,10,258.2
"V1004",191.4,5,4,12,949.2
"V1005",190.3,4,5,15,881
"V1007",175.9,6,5,8,870.2
"V1008",82.6,3,2,9,402.9
"V1009",37.8,2,4,6,243
"V1010",110.9,4,4,16,572.5
"V1011",115.1,4,2,27,502.1
"V1012",91.5,3,3,14,406.9
"V1013",61.1,2,6,20,313.9
"V1014",123.9,3,2,8,598.4
"V1015",28.7,1,6,11,196.5
"V1016",175.9,4,2,11,825.1
"V1017",134.1,4,3,5,679.9
"V1018",150.1,5,3,13,689.9
"V1019",116.3,4,4,16,598.3
"V1020",79.4,2,6,18,413.6
"V1021",114.9,3,5,26,589.8
"V1022",179.6,6,3,5,850.2
"V1024",102,4,2,18,503
"V1025",183.2,5,2,11,867.3
"V1027",138.4,4,4,5,679.9
"V1028",113.8,4,6,14,666.6
"V1029",77.4,2,4,2,384.1
"V1030",133.3,4,2,14,613.6
"V1031",70.1,1,5,31,407.7
"V1032",130.9,3,5,30,606.6
"V1033",112.3,2,2,2,605.2
"V1034",50.4,2,3,17,238.2
"V1035",146.2,4,2,10,664.3
"V1036",131.9,3,2,12,612.8
"V1037",54.1,3,2,3,303.3
"V1038",134.1,5,3,15,733.5
"V1039",108.2,2,4,9,554.2
"V1040",112.3,4,2,15,541.9
"V1041",187.5,4,4,11,853.7
"V1042",165.3,4,4,6,803.3
"V1043",114.1,4,4,15,490.7
"V1044",126.6,5,5,17,623.4
"V1045",72.3,3,5,12,434.6
"V1046",39.8,1,4,17,219.6
"V1047",101.3,2,2,9,476.9
"V1048",27.6,1,2,26,134.6
"V1049",194.2,6,5,10,937.2
"V1050",218.6,6,6,8,1070.3
"V1051",163.2,3,4,22,731.5
"V1052",186.2,5,4,23,865.1
"V1053",198.9,6,6,18,960.4
"V1054",130.2,4,2,14,621.8
"V1055",133.3,3,3,31,626.3
"V1056",78.9,1,3,7,371.7
"V1057",153.5,4,6,24,787
"V1058",72.5,2,4,34,395.8
"V1060",164.6,3,5,17,807.6
"V1061",166.9,5,6,17,805
"V1062",58.7,2,2,25,255.9
"V1063",84.7,3,5,7,463.1
"V1064",97.1,2,4,21,505.4
"V1065",40.2,1,3,4,234.1
"V1066",164.1,4,3,42,733.8
"V1067",132.4,5,4,9,682.5
"V1068",51.5,2,2,10,284.7
"V1069",215,6,3,14,971.6
"V1070",134.6,5,5,6,685.3
"V1071",178.7,5,3,10,806.4
"V1072",190.5,6,5,12,966.7
"V1073",196.2,6,5,10,958
"V1074",181.1,5,4,40,875
"V1075",149.8,5,3,4,727.5
"V1076",147.6,5,4,11,712.2
"V1077",77.9,3,3,24,398.9
"V1078",30.8,1,5,7,174.9
"V1079",106.9,3,5,11,504.3
"V1080",94.3,4,3,39,419.2
"V1081",101.5,3,3,4,506.5
"V1082",58.5,2,4,7,305.2
"V1083",87.3,2,3,6,419.1
"V1084",105.6,4,2,18,518.4
"V1085",173.1,4,4,7,818.3
"V1086",78,3,6,16,457.4
"V1087",47.5,1,2,8,214.2
"V1088",30.7,1,6,11,211.7
"V1089",182.3,4,5,20,854.6
"V1091",182.2,6,3,4,826.8
"V1092",40.4,1,4,9,248
"V1093",47.5,1,4,18,294.8
"V1094",50.2,3,3,37,249.8
"V1095",169.1,5,3,6,852.5
"V1096",172.6,5,5,10,794.5
"V1097",218.5,6,4,11,1011.9
"V1098",146.8,4,3,8,714.9
"V1099",81.3,2,4,5,440.9
"V1100",64,2,5,36,344
"V1102",166.9,4,2,5,827.3
"V1103",67.3,1,2,4,285.9
"V1104",170.1,6,4,10,804.9
"V1105",194,6,5,16,892.2
"V1106",128.2,3,5,11,612.2
"V1107",141.7,4,4,24,685.9
"V1108",207.8,6,5,10,1012.6
"V1109",210.4,6,2,6,948.6
"V1110",153.8,5,6,30,767.1
"V1112",186.1,6,4,10,896.9
"V1113",118.5,3,2,10,558.6
"V1114",101.3,3,3,12,482.7
"V1115",83.3,2,3,3,388.6
"V1116",72.6,2,4,18,358.3
"V1117",107.3,3,3,18,528.2
"V1118",207.9,5,3,18,951.3
"V1119",76.6,3,3,9,372.7
"V1120",135.9,4,2,13,599.1
"V1121",64.4,2,5,5,347.8
"V1122",62.6,2,3,15,314
"V1123",165.1,4,2,7,745.5
"V1124",86.1,2,3,26,400.2
"V1125",52,2,6,7,285.4
"V1126",36.3,1,2,3,213.4
"V1127",206.6,5,3,13,1030.6
"V1128",135.8,3,4,5,654.3
"V1129",48,1,4,7,284.4
"V1130",135.1,4,6,19,730.2
"V1131",130.3,5,5,37,620.2
"V1132",184.8,4,6,10,901.9
"V1133",162.1,5,6,21,822.1
"V1134",135.7,5,5,5,653.1
"V1135",165.7,4,3,34,758.3
"V1137",99.4,3,2,8,441.9
"V1138",81.2,2,6,15,456
"V1140",75.6,2,2,12,425.7
"V1141",187.2,5,3,13,791.7
"V1142",104,3,3,24,513.2
"V1144",211,6,5,10,1007.9
"V1145",67.4,3,3,13,305.2
"V1146",104.1,2,5,21,544
"V1147",147,3,6,37,762.6
"V1148",147.5,4,4,31,713.6
"V1149",89,3,5,21,431.3
"V1150",52.1,2,2,4,309.7
"V1151",203.4,5,5,21,968.6
"V1152",141.8,5,2,19,658.3
"V1153",171.2,5,2,8,792.5
"V1154",204.2,5,6,9,995.2
"V1155",128.1,4,6,5,664.9
"V1156",97.5,4,5,12,473.2
"V1157",37.8,1,2,13,224.3
"V1158",191.6,6,5,4,953.4
"V1159",124.5,3,4,5,618.6
"V1160",65.9,2,3,13,359.5
"V1161",98.3,2,4,6,460.9
"V1162",65.4,1,5,10,393.9
"V1163",114.6,3,4,22,564.5
"V1164",72.1,2,2,9,362.3
"V1165",48.1,3,4,13,252.4
"V1166",39.1,1,4,17,198.9
"V1167",159.7,5,6,6,787.5
"V1168",81,3,6,25,465.6
"V1169",54.1,2,3,21,304.4
"V1170",214.6,6,5,26,1066.5
"V1171",105.1,2,5,9,538.9
"V1172",103.4,3,5,5,513.6
"V1173",151.5,6,6,16,803.1
"V1174",203.7,6,2,17,886.5
"V1175",67.2,1,3,55,298.6
"V1176",131.9,5,4,34,644.4
"V1177",165.4,5,3,9,747.2
"V1178",102.5,3,3,7,453.8
"V1179",43.3,1,5,17,270.9
"V1180",148.8,4,2,40,716.2
"V1181",25.5,1,5,6,163.5
"V1182",66.1,2,3,8,315.4
"V1183",157.4,5,4,34,712.9
"V1184",193.9,5,3,36,933.3
"V1185",180.9,5,2,13,812.4
"V1186",51.3,2,4,5,261.7
"V1187",100.6,3,2,9,451.4
"V1188",178.8,6,2,24,797.8
"V1189",160.1,4,3,44,712.3
"V1190",140.9,4,3,12,687.6
"V1192",133.2,3,3,14,647.4
"V1193",112.6,4,2,13,507.4
"V1194",174.4,4,5,7,875.9
"V1195",30.1,1,6,17,120.6
"V1196",63.1,2,4,28,355.4
"V1197",196.8,6,6,12,972
"V1198",46.4,1,5,17,258
"V1199",213.9,6,2,14,995.6
"V1200",100.1,2,3,16,446
